CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,PreferredPaymentMode,Gender,HourSpendOnApp,PreferedOrderCat,SatisfactionScore,MaritalStatus,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder
50001,true,4,Mobile Phone,3,Debit Card,Female,3,Laptop & Accessory,2,Single,true,11,1,1,5
50002,true,10,Mobile Phone,1,UPI,Male,3,Mobile,3,Single,true,15,0,1,0
50003,true,10,Mobile Phone,1,Debit Card,Male,2,Mobile,3,Single,true,14,0,1,3
50004,true,0,Mobile Phone,3,Debit Card,Male,2,Laptop & Accessory,5,Single,false,23,0,1,3
50005,true,0,Mobile Phone,1,Credit Card,Male,3,Mobile,5,Single,false,11,1,1,3
50006,true,0,Computer,1,Debit Card,Female,3,Mobile Phone,5,Single,true,22,4,6,7
50007,true,10,Mobile Phone,3,COD,Male,2,Laptop & Accessory,2,Divorced,false,14,0,1,0
50008,true,10,Mobile Phone,1,Credit Card,Male,3,Mobile,2,Divorced,true,16,2,2,0
50009,true,13,Mobile Phone,3,E wallet,Male,3,Mobile,3,Divorced,true,14,0,1,2
50010,true,10,Mobile Phone,1,Debit Card,Male,2,Mobile,3,Single,false,12,1,1,1
50011,true,4,Mobile Phone,1,COD,Female,2,Others,3,Divorced,false,16,9,15,8
50012,true,11,Mobile Phone,1,Debit Card,Male,3,Fashion,3,Single,true,13,0,1,0
50013,true,0,Mobile Phone,1,COD,Male,2,Mobile,3,Single,true,13,2,2,2
50014,true,0,Mobile Phone,1,Credit Card,Male,3,Mobile,3,Divorced,true,17,0,1,0
50015,true,9,Mobile Phone,3,Credit Card,Male,3,Fashion,2,Single,false,16,0,4,7
50016,true,10,Mobile Phone,2,UPI,Male,3,Mobile,5,Married,true,22,1,1,2
50017,true,0,Computer,1,Debit Card,Female,3,Mobile,2,Single,true,18,1,1,0
50018,true,0,Mobile Phone,3,E wallet,Male,2,Laptop & Accessory,3,Single,true,11,1,1,3
50019,true,0,Computer,1,Debit Card,Male,3,Laptop & Accessory,3,Single,true,24,1,1,6
